step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
126,0.5410978198051453,-0.3842300474643707,0.48043543100357056,-0.8063137531280518,0.5113035440444946,0.2973666489124298,0.5641690492630005,0.5137889981269836,0.646323561668396
127,0.5392788052558899,-0.3795844316482544,0.49095314741134644,-0.8186005353927612,0.4976375699043274,0.28679245710372925,0.5440276265144348,0.5116610527038574,0.6650089621543884
128,0.5372304320335388,-0.37607941031455994,0.5020660758018494,-0.8298646211624146,0.4857337474822998,0.27456825971603394,0.5239129066467285,0.5090680122375488,0.6829093098640442
129,0.5350739359855652,-0.3737215995788574,0.5134223103523254,-0.839855432510376,0.4757430851459503,0.2613646984100342,0.5043547749519348,0.5059312582015991,0.6997569799423218
130,0.5329526662826538,-0.37249425053596497,0.5247456431388855,-0.8484295606613159,0.467663049697876,0.24790897965431213,0.48585647344589233,0.5022359490394592,0.7153339385986328
131,0.531021237373352,-0.37236297130584717,0.5358320474624634,-0.8555485010147095,0.46132558584213257,0.23498031497001648,0.4688901901245117,0.4980171322822571,0.7294662594795227
132,0.5295250415802002,-0.3732963502407074,0.5458646416664124,-0.8608310222625732,0.4569854140281677,0.22390702366828918,0.45460885763168335,0.49284160137176514,0.7419150471687317
133,0.5285599827766418,-0.3752676546573639,0.5550780892372131,-0.8644256591796875,0.45479848980903625,0.2143057882785797,0.4428534209728241,0.4869902729988098,0.7528089880943298
134,0.5282164812088013,-0.37827688455581665,0.5635120272636414,-0.8663398027420044,0.454874187707901,0.20626400411128998,0.43377092480659485,0.48052978515625,0.7621902227401733
135,0.5285943150520325,-0.38196253776550293,0.5717180371284485,-0.8669407367706299,0.4572502672672272,0.19833368062973022,0.4265463650226593,0.4748198390007019,0.7698080539703369
136,0.5295465588569641,-0.3860427439212799,0.579968273639679,-0.866569995880127,0.46146759390830994,0.1900113970041275,0.42056897282600403,0.4703124165534973,0.7758402228355408
137,0.5309555530548096,-0.39036351442337036,0.5880558490753174,-0.8654310703277588,0.46684157848358154,0.18190167844295502,0.41583147644996643,0.46673667430877686,0.7805389761924744
138,0.5328771471977234,-0.3948235809803009,0.5952059030532837,-0.8636643886566162,0.47249114513397217,0.17560259997844696,0.41303274035453796,0.4636598825454712,0.7838517427444458
139,0.5351981520652771,-0.39934536814689636,0.6010104417800903,-0.8615648746490479,0.4776564836502075,0.1719014197587967,0.4122088551521301,0.4606180787086487,0.7860754728317261
140,0.5381613969802856,-0.4043593406677246,0.6051671504974365,-0.8592214584350586,0.4816559851169586,0.1724710464477539,0.4140264689922333,0.4566042423248291,0.78746098279953
141,0.5417062640190125,-0.4100527763366699,0.6075882315635681,-0.856429934501648,0.4848578870296478,0.17731483280658722,0.4186260998249054,0.45121681690216064,0.7881342172622681
142,0.5455754995346069,-0.4163844883441925,0.608555257320404,-0.8531770706176758,0.4875193238258362,0.18551033735275269,0.42539072036743164,0.44446873664855957,0.7883466482162476
143,0.549619734287262,-0.4235013723373413,0.6082473993301392,-0.849286675453186,0.489916056394577,0.19670908153057098,0.434083491563797,0.43596017360687256,0.7883592247962952
144,0.5537551641464233,-0.43158605694770813,0.606765627861023,-0.8444876670837402,0.4923936724662781,0.21068733930587769,0.4446578025817871,0.42532771825790405,0.7882739305496216
145,0.5578086972236633,-0.44060683250427246,0.604539692401886,-0.8387596607208252,0.4951973557472229,0.22641126811504364,0.45644843578338623,0.4127383828163147,0.7882270812988281
146,0.5616238713264465,-0.450342059135437,0.6020154356956482,-0.8322761058807373,0.498338907957077,0.24284709990024567,0.46863624453544617,0.39846163988113403,0.7884214520454407
147,0.5651498436927795,-0.4605480134487152,0.5995963215827942,-0.8252975940704346,0.501734733581543,0.25912582874298096,0.4805372357368469,0.3829793930053711,0.7889301180839539
