step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
68,-0.1956585943698883,-0.15684431791305542,0.15642091631889343,-0.14889582991600037,0.02204471081495285,-0.17533229291439056,0.2395538091659546,-0.1267109513282776,0.3563311994075775,0.4801594614982605,-0.0841258093714714,-0.6505914330482483,-0.2027580738067627,0.14844617247581482,-0.16153965890407562,0.07005242258310318
69,-0.18771420419216156,-0.15145984292030334,0.15518951416015625,-0.13021209836006165,0.010602161288261414,-0.18377803266048431,0.22921715676784515,-0.13233433663845062,0.35882410407066345,0.4873906970024109,-0.07319482415914536,-0.6433412432670593,-0.1980375498533249,0.15810659527778625,-0.14639845490455627,0.06797707080841064
70,-0.1859407126903534,-0.14977507293224335,0.1498958021402359,-0.1423010230064392,0.015200823545455933,-0.16672174632549286,0.22246932983398438,-0.13680578768253326,0.36453408002853394,0.4835849106311798,-0.06282738596200943,-0.6402048468589783,-0.2008156031370163,0.16138243675231934,-0.13853251934051514,0.06691383570432663
71,-0.1797567903995514,-0.14203064143657684,0.14852018654346466,-0.1197628527879715,0.0031140223145484924,-0.17797422409057617,0.2110777497291565,-0.14369237422943115,0.36551639437675476,0.4897126257419586,-0.05395010858774185,-0.6330695152282715,-0.1951044499874115,0.1725710928440094,-0.12197818607091904,0.0645231232047081
72,-0.1787499040365219,-0.1396692395210266,0.1448485255241394,-0.13330814242362976,0.010913267731666565,-0.15886493027210236,0.2032320499420166,-0.14857859909534454,0.36938774585723877,0.48298975825309753,-0.046334750950336456,-0.6301897168159485,-0.1987205594778061,0.17623519897460938,-0.11322733014822006,0.06294480711221695
73,-0.1707734614610672,-0.13397693634033203,0.14337454736232758,-0.11167960613965988,-0.0025363266468048096,-0.1713133603334427,0.19388778507709503,-0.15326984226703644,0.37048953771591187,0.49203819036483765,-0.0375947579741478,-0.6230347156524658,-0.19139763712882996,0.185357928276062,-0.09931768476963043,0.06082727760076523
74,-0.16869674623012543,-0.13445985317230225,0.13889488577842712,-0.12685728073120117,0.0017676502466201782,-0.1544608622789383,0.18888933956623077,-0.15585507452487946,0.3758927881717682,0.4890737235546112,-0.026455529034137726,-0.6235904693603516,-0.19655895233154297,0.1844978630542755,-0.09560933709144592,0.060334526002407074
75,-0.16473376750946045,-0.12632185220718384,0.13659939169883728,-0.1054331436753273,-0.008295305073261261,-0.165115624666214,0.1786264181137085,-0.16304723918437958,0.3757004141807556,0.49264541268348694,-0.020281486213207245,-0.6177632808685303,-0.1905706226825714,0.1951318085193634,-0.08068323135375977,0.05811319500207901
76,-0.16242346167564392,-0.125361829996109,0.13410890102386475,-0.1166120246052742,-0.0013006851077079773,-0.14981324970722198,0.17167805135250092,-0.16705553233623505,0.3791322112083435,0.4871470034122467,-0.012107931077480316,-0.615922212600708,-0.1950402557849884,0.19777533411979675,-0.0735105499625206,0.05682436376810074
77,-0.15711088478565216,-0.12022942304611206,0.13154861330986023,-0.10096609592437744,-0.01063915342092514,-0.15760348737239838,0.16356565058231354,-0.17153967916965485,0.379525750875473,0.4931791126728058,-0.005522780120372772,-0.6101437211036682,-0.18924449384212494,0.20540264248847961,-0.06212780624628067,0.05520676076412201
78,-0.15406093001365662,-0.11931110918521881,0.1289764791727066,-0.10984619706869125,-0.007272735238075256,-0.14632631838321686,0.1576428860425949,-0.17445047199726105,0.3831447958946228,0.4905893802642822,0.003942988812923431,-0.610446035861969,-0.1932334005832672,0.20599877834320068,-0.057278744876384735,0.05411355942487717
79,-0.14980991184711456,-0.11544130742549896,0.12594588100910187,-0.09750973433256149,-0.015825316309928894,-0.152411088347435,0.15100860595703125,-0.1781976968050003,0.3838444948196411,0.49577367305755615,0.010627828538417816,-0.6062313914299011,-0.1876065880060196,0.21135014295578003,-0.04821962118148804,0.0529470220208168
80,-0.14643819630146027,-0.11473222076892853,0.12337761372327805,-0.10485746711492538,-0.01365373283624649,-0.14345034956932068,0.14577291905879974,-0.18080441653728485,0.3870769739151001,0.49413493275642395,0.01989635080099106,-0.6065741777420044,-0.19084416329860687,0.211671382188797,-0.044005148112773895,0.05213402956724167
81,-0.14242206513881683,-0.11154057085514069,0.12057977169752121,-0.09466638416051865,-0.021236427128314972,-0.14844919741153717,0.13982312381267548,-0.18389704823493958,0.3882583677768707,0.4988015592098236,0.027127377688884735,-0.6035459041595459,-0.18604449927806854,0.21559736132621765,-0.03665179759263992,0.05111560970544815
